id,created_at,text,favorite_count,retweet_count
912709396123107328,2017-09-26,"b'@Chupacaubrey Enjoy reading, Aubrey! \xf0\x9f\x93\x96'",2,14
912634456808263680,2017-09-26,"b'CEO @satyanadella will be live on @CBSThisMorning discussing his new book, #HitRefresh, available today. Tune in in\xe2\x80\xa6 https://t.co/IYRYbMDhYO'",182,61
912625844048216064,2017-09-26,"b""Be among the first to read CEO @satyanadella's book, #HitRefresh, available now in stores and online:\xe2\x80\xa6 https://t.co/fs5RBci2qD""",983,507
912453861696192513,2017-09-25,"b""A detailed look at CEO @SatyaNadella's #MSIgnite keynote from this morning: https://t.co/w3fAHupKu4 https://t.co/PU3Cvqvf5e""",436,261
912451968978665472,2017-09-25,"b""We've donated #cloud services to more than 90,000 #nonprofits. Now we want to do more. https://t.co/BujB7gwVLI""",163,78
912450436962979840,2017-09-25,b'Hit Refresh by Satya Nadella\n\nhttps://t.co/7rG34l61nF',266,96
912443579003490304,2017-09-25,"b'DVR alert: Catch Microsoft CEO @satyanadella on @CBSThisMorning tomorrow, talking about his new book, #HitRefresh https://t.co/Yq9aMCP9dQ'",98,48
912417208545898496,2017-09-25,"b"".@WSJMag sat down with Bill Gates and Satya Nadella to discuss empathy, technology, and Satya's book, #HitRefresh.\nhttps://t.co/RgyHnFFvDv""",283,136
912393744099549185,2017-09-25,b'Join the #quantum computing revolution. \nhttps://t.co/lwZwLVeWVr\n#MSIgnite https://t.co/kdOrOX0yra',262,165
912384117592985600,2017-09-25,"b'WATCH LIVE: @satyanadella &amp; @bethcomstock are discussing empathy, technology, and the future of work. https://t.co/w3NMIV4XXI'",78,45
912383618005135360,2017-09-25,b'@golasalle Great choice! How are you enjoying #MSIgnite so far?',2,15
912378645322199041,2017-09-25,b'Microsoft Ignite 2017: Day 1\n\nhttps://t.co/qND7UcC9rS',515,288
912378487847116804,2017-09-25,b'@SaraheLeitner @INBOUND We wish you good luck in doing so! Which announcement from #MSIgnite has you excited?',4,14
912376019553738754,2017-09-25,"b""@rao_archana That's awesome to hear!""",3,15
912375036878536704,2017-09-25,"b""@betsyweber We're happy to have you on the team!""",1,15
912355005298077697,2017-09-25,"b""RECAP: @FXShaw's top five announcements from #MSIgnite \nhttps://t.co/c1FI7V9lCR""",134,90
912352387515523073,2017-09-25,"b""Microsoft moves up to #3 on @Interbrand's Best Global Brands list #BGB2017 https://t.co/YGbh3D2UFG https://t.co/3bM6Ae5ikH""",225,106
912338915935293440,2017-09-25,"b'.@SatyaNadella will join @BethComstock at 2:15pm ET for a live Q&amp;A on his book, #HitRefresh, available tomorrow.\xe2\x80\xa6 https://t.co/Zd1sGApzwZ'",144,83
912321184255135745,2017-09-25,"b""Let's build the world\xe2\x80\x99s first, truly scalable #quantum computer. \nhttps://t.co/lwZwLVeWVr \n#MSIgnite https://t.co/mRSJAaeqFW""",652,496
912319677006827520,2017-09-25,"b'A CEO, a mathematician, a computer scientist, and a pair of physicists walk into a keynote...\xf0\x9f\xa4\x94 #MSIgnite'",712,253
912316535510839296,2017-09-25,b'3 key technologies that will fundamentally transform our industry: \n\xe2\x9c\xa8Mixed Reality\n\xf0\x9f\x92\xadArtificial Intelligence \n\xf0\x9f\x96\xa5\xef\xb8\x8fQuan\xe2\x80\xa6 https://t.co/VfU2D4n1AU',2867,1700
912312072540708864,2017-09-25,"b'Enjoy that vacation, Li-Chen. You earned it. \xf0\x9f\x8c\xb4\xe2\x9c\x88\xef\xb8\x8f#MSIgnite'",270,74
912311569765339138,2017-09-25,"b'LinkedIn, Bing for business and Cortana enable #AI-first information search and discovery. #MSIgnite'",174,117
912309164160020481,2017-09-25,"b'.@Ford uses Microsoft 365 and mixed reality to create a more modern workplace, enabling next-level collaboration.\xe2\x80\xa6 https://t.co/gh4ddP7SlW'",312,183
912305701329997824,2017-09-25,"b""Microsoft's core solutions for digital transformation:\n\xf0\x9f\x9b\xb0Modern Workplace\n\xf0\x9f\x92\xbcBusiness Applications\n\xf0\x9f\x93\xb2Apps &amp; Infrastruct\xe2\x80\xa6 https://t.co/zarb5XZVyE""",265,179
912305523768352769,2017-09-25,b'WATCH LIVE: @satyanadella is on stage at #MSIgnite talking about the future of technology. https://t.co/qAhql7k3Pw',130,118
912304832203108352,2017-09-25,"b'3 characteristics that define the intelligent cloud and intelligent edge paradigm: \n\xf0\x9f\x93\xb2Multi-device, multi-sense\n\xf0\x9f\x92\xadAI\xe2\x80\xa6 https://t.co/XWz0lhvLDZ'",280,180
912303315941281792,2017-09-25,b'CEO @SatyaNadella on the timeless values that drive what we do:\n\xf0\x9f\x92\xaaEmpower people \n\xf0\x9f\x91\xabInclusive design \n\xf0\x9f\x9b\xa0\xef\xb8\x8fBuild trust i\xe2\x80\xa6 https://t.co/YlGiAosAYZ',526,356
912301289698152448,2017-09-25,b'STARTING NOW #MSIgnite\nWatch it live here: https://t.co/TK1j2UZcZi https://t.co/sdT2Wgooio',384,276
912284631059304454,2017-09-25,b'TUNE-IN: Day one of #MSIgnite starts at 9am ET. Stream it live here: https://t.co/TK1j2UZcZi https://t.co/EgYswoqyFn',212,137
911404307391512577,2017-09-23,"b'How ""a ladder to the moon"" can connect the world. https://t.co/32dmaQ7ycD'",729,257
911356668025307136,2017-09-22,"b'#MSIgnite and #MSEnvision start in just four days. Check out the experts, sessions and more about the event here:\xe2\x80\xa6 https://t.co/Ors1TkgQjp'",156,65
911234732846755840,2017-09-22,b'It is estimated that there will be an 8-fold increase in cross-border Internet traffic by 2025. (5/5)',169,53
